head,task,variant,dataset,accuracy,balanced_accuracy,AUROC,BCE
linear,state,A3,dataset_macro,0.7741690881294031,0.7759361278067045,0.8254660732106216,0.5105597525835037
linear,state,A4,dataset_macro,0.7899968778437678,0.79587872153438,0.8473797232502174,0.5101542174816132
linear,severity,A3,dataset_macro,0.6559853190287972,0.6536796536796536,0.7107508292573228,0.6041102111339569
linear,severity,A4,dataset_macro,0.6669960474308301,0.6647727272727273,0.7632610895597909,0.6328333616256714
fractional_dog_polykan,state,A3,dataset_macro,0.7767913721923378,0.7847046036195438,0.8323999779279062,0.5012058019638062
fractional_dog_polykan,state,A4,dataset_macro,0.7656987670754604,0.767877987296121,0.8355927846565292,0.5264046043157578
fractional_dog_polykan,severity,A3,dataset_macro,0.6485036702428006,0.650974025974026,0.6984736043177602,0.833221822977066
fractional_dog_polykan,severity,A4,dataset_macro,0.6952286843591191,0.6939935064935064,0.7564899926912914,0.8225866854190826
mlp,state,A3,dataset_macro,0.7720433577762021,0.7805739193649569,0.8300813962531679,0.5238651931285858
mlp,state,A4,dataset_macro,0.7597842674173552,0.7653286902388707,0.8348254859438089,0.5412299036979675
mlp,severity,A3,dataset_macro,0.6614906832298137,0.6601731601731602,0.6902091415078428,0.955595463514328
mlp,severity,A4,dataset_macro,0.6660079051383399,0.6647727272727273,0.739764294147411,0.8938004076480865
