head,task,variant,dataset,n_samples,n_subjects,negative_count,positive_count,positive_fraction,majority_accuracy,accuracy,accuracy_fold_mean,accuracy_fold_std,balanced_accuracy,balanced_accuracy_fold_mean,balanced_accuracy_fold_std,AUROC,AUROC_fold_mean,AUROC_fold_std,BCE,BCE_fold_mean,BCE_fold_std
fractional_dog_polykan,severity,A3,city,154,25,77,77,0.5,0.5,0.6883116883116883,0.6896812957157785,0.06748055455320069,0.6883116883116883,0.6920938375350139,0.06160041580089927,0.7151290268173385,0.7962628384687209,0.12204873886938271,0.7572138905525208,0.7593883991241455,0.23715618323826443
fractional_dog_polykan,severity,A3,vrq,23,23,11,12,0.5217391304347826,0.5217391304347826,0.6086956521739131,0.6,0.2345207879911715,0.6136363636363636,0.5666666666666667,0.25276251480171835,0.6818181818181819,0.6666666666666666,0.3118047822311618,0.9092297554016113,0.9136849798262119,0.7002932690694463
fractional_dog_polykan,severity,A4,city,154,25,77,77,0.5,0.5,0.6948051948051948,0.6983960292580982,0.12092638679277545,0.6948051948051948,0.7028501400560224,0.11586672402019701,0.7364648338674313,0.7612103174603175,0.1585445007980666,0.8417104482650757,0.8456755101680755,0.5209656317629363
fractional_dog_polykan,severity,A4,vrq,23,23,11,12,0.5217391304347826,0.5217391304347826,0.6956521739130435,0.6799999999999999,0.21679483388678802,0.6931818181818181,0.65,0.22360679774997896,0.7765151515151515,0.7333333333333333,0.3084459253886958,0.8034629225730896,0.8122649148106575,0.5329538757460001
fractional_dog_polykan,state,A3,city,9343,25,5335,4008,0.4289842662956224,0.5710157337043776,0.7714866745156802,0.7732707819898135,0.07421450590823764,0.789759539028784,0.7908625945302801,0.06476663374567736,0.8475137587991776,0.8575344850811077,0.04889374612449431,0.4772599935531616,0.4737445890903473,0.12739926721962688
fractional_dog_polykan,state,A3,vrq,2290,23,1044,1246,0.5441048034934498,0.5441048034934498,0.7820960698689956,0.7892363399472251,0.10651860127816867,0.7796496682103036,0.7857341817716419,0.11267096076760008,0.8172861970566349,0.8457556458999314,0.09099070464428796,0.5251516103744507,0.5164503276348114,0.12046332338484168
fractional_dog_polykan,state,A4,city,9343,25,5335,4008,0.4289842662956224,0.5710157337043776,0.7672053944129295,0.7691352938716617,0.06161064343059765,0.7729471703266382,0.7741431188557785,0.04766799966888651,0.8403671803534448,0.8651061647432652,0.049443800929754624,0.49487438797950745,0.49232375621795654,0.12419011523628783
fractional_dog_polykan,state,A4,vrq,2290,23,1044,1246,0.5441048034934498,0.5441048034934498,0.7641921397379913,0.7724032790609099,0.107275895128201,0.7628088042656039,0.7711680709124127,0.10872637400294514,0.8308183889596135,0.8446159939923144,0.09032466771384522,0.5579348206520081,0.5442408204078675,0.1794211706709342
linear,severity,A3,city,154,25,77,77,0.5,0.5,0.7467532467532467,0.7482850052246605,0.08681726431626138,0.7467532467532467,0.7496008403361344,0.08535862912252783,0.7927137797267667,0.7944743230625584,0.10620266392399033,0.5582789778709412,0.5548618972301483,0.12529167026779744
linear,severity,A3,vrq,23,23,11,12,0.5217391304347826,0.5217391304347826,0.5652173913043478,0.5599999999999999,0.15165750888103102,0.5606060606060606,0.5833333333333333,0.1443375672974064,0.6287878787878788,0.6166666666666667,0.2608745973749755,0.6499414443969727,0.6555709123611451,0.12809318127185992
linear,severity,A4,city,154,25,77,77,0.5,0.5,0.6818181818181818,0.6863153082549635,0.14799560270514414,0.6818181818181819,0.6915616246498599,0.14266860791237104,0.7310676336650362,0.7782133520074697,0.13418591142113886,0.7086873650550842,0.7043510496616363,0.23796440899611696
linear,severity,A4,vrq,23,23,11,12,0.5217391304347826,0.5217391304347826,0.6521739130434783,0.64,0.25099800796022265,0.6477272727272727,0.6666666666666666,0.2357022603955158,0.7954545454545455,0.75,0.25,0.5569793581962585,0.585310646891594,0.39081527126214427
linear,state,A3,city,9343,25,5335,4008,0.4289842662956224,0.5710157337043776,0.7662421063898106,0.7675710616065068,0.06233636938112069,0.7781234625407105,0.7784090706386468,0.05157602439506637,0.8409259503486,0.8511660730199819,0.04974418296324502,0.4754176437854767,0.4729521334171295,0.09744842857507462
linear,state,A3,vrq,2290,23,1044,1246,0.5441048034934498,0.5441048034934498,0.7820960698689956,0.7848780392600752,0.048023036419246934,0.7737487930726985,0.7770920496576764,0.05530898494098229,0.8100061960726432,0.8324173042942512,0.10277665494680609,0.5457018613815308,0.5386519193649292,0.13955039555355017
linear,state,A4,city,9343,25,5335,4008,0.4289842662956224,0.5710157337043776,0.7882906989189767,0.7894330102719082,0.0555339708864974,0.8027360227997613,0.803111523428437,0.04334602041276814,0.8550636075552738,0.8755658887243051,0.04789489137299516,0.5097232460975647,0.506860226392746,0.19389599801746268
linear,state,A4,vrq,2290,23,1044,1246,0.5441048034934498,0.5441048034934498,0.7917030567685589,0.7985727262916056,0.08458264644871073,0.7890214202689987,0.7947982979155885,0.0897137713070209,0.839695838945161,0.8527686128036157,0.08444330036715385,0.5105851888656616,0.4968110680580139,0.16427568458702693
mlp,severity,A3,city,154,25,77,77,0.5,0.5,0.7142857142857143,0.716726750261233,0.09178424457447691,0.7142857142857143,0.717608543417367,0.08869970299994162,0.7440546466520492,0.7857103174603175,0.10413813174982575,0.6487439274787903,0.64637570977211,0.16135313165096052
