head,task,variant,dataset,fold,n_samples,accuracy,balanced_accuracy,AUROC,BCE
fractional_dog_polykan,severity,A3,city,fold_1,30,0.6333333333333333,0.6333333333333333,0.6444444444444445,1.1218241453170776
fractional_dog_polykan,severity,A3,city,fold_2,29,0.7931034482758621,0.7857142857142857,0.9380952380952382,0.5249959826469421
fractional_dog_polykan,severity,A3,city,fold_3,30,0.7,0.7,0.9000000000000001,0.8646240234375
fractional_dog_polykan,severity,A3,city,fold_4,33,0.696969696969697,0.7022058823529411,0.724264705882353,0.6566894054412842
fractional_dog_polykan,severity,A3,city,fold_5,32,0.625,0.6392156862745098,0.7745098039215687,0.6288084387779236
fractional_dog_polykan,severity,A3,vrq,fold_1,5,0.4,0.3333333333333333,0.3333333333333333,1.9658550024032593
fractional_dog_polykan,severity,A3,vrq,fold_2,5,1.0,1.0,1.0,0.048013705760240555
fractional_dog_polykan,severity,A3,vrq,fold_3,5,0.6,0.5,1.0,0.6247165203094482
fractional_dog_polykan,severity,A3,vrq,fold_4,4,0.5,0.5,0.5,0.8742519021034241
fractional_dog_polykan,severity,A3,vrq,fold_5,4,0.5,0.5,0.5,1.0555877685546875
fractional_dog_polykan,severity,A4,city,fold_1,30,0.6,0.6,0.5177777777777778,1.7514728307724
fractional_dog_polykan,severity,A4,city,fold_2,29,0.8275862068965517,0.8238095238095238,0.9095238095238094,0.6941764950752258
fractional_dog_polykan,severity,A4,city,fold_3,30,0.8333333333333334,0.8333333333333334,0.8933333333333334,0.4160921275615692
fractional_dog_polykan,severity,A4,city,fold_4,33,0.6060606060606061,0.6139705882352942,0.71875,0.7330083250999451
fractional_dog_polykan,severity,A4,city,fold_5,32,0.625,0.6431372549019608,0.7666666666666667,0.6336277723312378
fractional_dog_polykan,severity,A4,vrq,fold_1,5,0.8,0.75,0.6666666666666666,1.5530388355255127
fractional_dog_polykan,severity,A4,vrq,fold_2,5,1.0,1.0,1.0,0.09423158317804337
fractional_dog_polykan,severity,A4,vrq,fold_3,5,0.6,0.5,1.0,0.5870772004127502
fractional_dog_polykan,severity,A4,vrq,fold_4,4,0.5,0.5,0.25,0.9313706159591675
fractional_dog_polykan,severity,A4,vrq,fold_5,4,0.5,0.5,0.75,0.8956063389778137
fractional_dog_polykan,state,A3,city,fold_1,1820,0.8214285714285714,0.8283753394120622,0.8937695484162407,0.37449949979782104
fractional_dog_polykan,state,A3,city,fold_2,1671,0.8653500897666068,0.8739100655936356,0.9222718345436399,0.3285593092441559
fractional_dog_polykan,state,A3,city,fold_3,1784,0.6782511210762332,0.7074897959183674,0.8064234693877551,0.5969356894493103
fractional_dog_polykan,state,A3,city,fold_4,2102,0.774976213130352,0.7926686818928199,0.8426803440812061,0.4586396813392639
fractional_dog_polykan,state,A3,city,fold_5,1966,0.7263479145473042,0.7518690898345153,0.8225272289766971,0.6100887656211853
fractional_dog_polykan,state,A3,vrq,fold_1,507,0.6272189349112426,0.6117374736245395,0.7193178597297891,0.6972414255142212
fractional_dog_polykan,state,A3,vrq,fold_2,512,0.814453125,0.8107037582903464,0.8257415254237288,0.4965772032737732
fractional_dog_polykan,state,A3,vrq,fold_3,474,0.8059071729957806,0.8103793843951324,0.8620257695060846,0.5084525942802429
fractional_dog_polykan,state,A3,vrq,fold_4,418,0.7751196172248804,0.7719717748552406,0.8476334482031085,0.5212583541870117
fractional_dog_polykan,state,A3,vrq,fold_5,379,0.9234828496042217,0.9238785176929507,0.9740596266369463,0.358722060918808
fractional_dog_polykan,state,A4,city,fold_1,1820,0.7824175824175824,0.7715615655427401,0.8963062392898001,0.4968006908893585
fractional_dog_polykan,state,A4,city,fold_2,1671,0.8521843207660084,0.8501466417287918,0.9206115047900038,0.35207635164260864
fractional_dog_polykan,state,A4,city,fold_3,1784,0.7365470852017937,0.7461275510204082,0.8190682397959185,0.5242397785186768
fractional_dog_polykan,state,A4,city,fold_4,2102,0.7873453853472883,0.7787346992088371,0.8820420958351995,0.41084960103034973
fractional_dog_polykan,state,A4,city,fold_5,1966,0.6871820956256358,0.7241451367781155,0.8075027440054034,0.6776523590087891
fractional_dog_polykan,state,A4,vrq,fold_1,507,0.6153846153846154,0.6123200957389854,0.724758290555223,0.751936674118042
fractional_dog_polykan,state,A4,vrq,fold_2,512,0.775390625,0.7643392286907393,0.8316675878162614,0.565449059009552
fractional_dog_polykan,state,A4,vrq,fold_3,474,0.7827004219409283,0.7875089477451682,0.8588851109520401,0.5397884249687195
fractional_dog_polykan,state,A4,vrq,fold_4,418,0.7703349282296651,0.7730735869845512,0.8301568324073423,0.605178713798523
