task,dataset,comparison,variant_or_head,metric,difference,unit
state,vrq,fractional_dog_polykan-linear,A3,accuracy,0.0,percentage_points
state,vrq,fractional_dog_polykan-linear,A3,balanced_accuracy,0.5900875137605066,percentage_points
state,vrq,fractional_dog_polykan-linear,A3,AUROC,0.7280000983991619,percentage_points
state,vrq,fractional_dog_polykan-linear,A3,BCE,-0.020550251007080078,BCE
state,vrq,mlp-linear,A3,accuracy,0.6986899563318771,percentage_points
state,vrq,mlp-linear,A3,balanced_accuracy,1.1544989944834994,percentage_points
state,vrq,mlp-linear,A3,AUROC,0.8061428755926969,percentage_points
state,vrq,mlp-linear,A3,BCE,0.0040991902351379395,BCE
state,vrq,fractional_dog_polykan-mlp,A3,accuracy,-0.6986899563318771,percentage_points
state,vrq,fractional_dog_polykan-mlp,A3,balanced_accuracy,-0.5644114807229927,percentage_points
state,vrq,fractional_dog_polykan-mlp,A3,AUROC,-0.07814277719353502,percentage_points
state,vrq,fractional_dog_polykan-mlp,A3,BCE,-0.024649441242218018,BCE
state,vrq,fractional_dog_polykan-linear,A4,accuracy,-2.7510917030567628,percentage_points
state,vrq,fractional_dog_polykan-linear,A4,balanced_accuracy,-2.621261600339475,percentage_points
state,vrq,fractional_dog_polykan-linear,A4,AUROC,-0.8877449985547514,percentage_points
state,vrq,fractional_dog_polykan-linear,A4,BCE,0.047349631786346436,BCE
state,vrq,mlp-linear,A4,accuracy,-3.580786026200866,percentage_points
state,vrq,mlp-linear,A4,balanced_accuracy,-3.1352435071923646,percentage_points
state,vrq,mlp-linear,A4,AUROC,-0.5617208784585825,percentage_points
state,vrq,mlp-linear,A4,BCE,0.04240638017654419,BCE
state,vrq,fractional_dog_polykan-mlp,A4,accuracy,0.8296943231441034,percentage_points
state,vrq,fractional_dog_polykan-mlp,A4,balanced_accuracy,0.5139819068528895,percentage_points
state,vrq,fractional_dog_polykan-mlp,A4,AUROC,-0.3260241200961689,percentage_points
state,vrq,fractional_dog_polykan-mlp,A4,BCE,0.004943251609802246,BCE
state,city,fractional_dog_polykan-linear,A3,accuracy,0.5244568125869598,percentage_points
state,city,fractional_dog_polykan-linear,A3,balanced_accuracy,1.1636076488073521,percentage_points
state,city,fractional_dog_polykan-linear,A3,AUROC,0.6587808450577604,percentage_points
state,city,fractional_dog_polykan-linear,A3,BCE,0.0018423497676849365,BCE
state,city,mlp-linear,A3,accuracy,-1.1238360269720693,percentage_points
state,city,mlp-linear,A3,balanced_accuracy,-0.22694068283302116,percentage_points
state,city,mlp-linear,A3,AUROC,0.11692173291655283,percentage_points
state,city,mlp-linear,A3,BCE,0.022511690855026245,BCE
state,city,fractional_dog_polykan-mlp,A3,accuracy,1.648292839559029,percentage_points
state,city,fractional_dog_polykan-mlp,A3,balanced_accuracy,1.3905483316403733,percentage_points
state,city,fractional_dog_polykan-mlp,A3,AUROC,0.5418591121412075,percentage_points
state,city,fractional_dog_polykan-mlp,A3,BCE,-0.02066934108734131,BCE
state,city,fractional_dog_polykan-linear,A4,accuracy,-2.1085304506047287,percentage_points
state,city,fractional_dog_polykan-linear,A4,balanced_accuracy,-2.978885247312313,percentage_points
state,city,fractional_dog_polykan-linear,A4,AUROC,-1.4696427201828954,percentage_points
state,city,fractional_dog_polykan-linear,A4,BCE,-0.014848858118057251,BCE
state,city,mlp-linear,A4,accuracy,-2.461736059081665,percentage_points
state,city,mlp-linear,A4,balanced_accuracy,-2.9747627519094877,percentage_points
state,city,mlp-linear,A4,AUROC,-1.949126582823113,percentage_points
state,city,mlp-linear,A4,BCE,0.01974499225616455,BCE
state,city,fractional_dog_polykan-mlp,A4,accuracy,0.3532056084769364,percentage_points
state,city,fractional_dog_polykan-mlp,A4,balanced_accuracy,-0.004122495402825166,percentage_points
