config,task,accuracy,balanced_accuracy,AUROC,BCE
R0_dog,state,0.8366668074681085,0.8372951163646558,0.8902561904367684,0.3903440684080124
R0_dog,severity,0.9137931034482758,0.9130952380952381,0.9761904761904763,0.15578430704772472
R0_mlp,state,0.8285249640956323,0.8314560767921995,0.8819242097917919,0.403793528676033
R0_mlp,severity,0.9310344827586207,0.930952380952381,0.9619047619047618,0.18081082275602967
R0_poly,state,0.8341957421643997,0.8362208492500123,0.8864363592171967,0.3991125673055649
R0_poly,severity,0.9310344827586207,0.930952380952381,0.9714285714285714,0.17312644980847836
R1_dog,state,0.8324955647545831,0.8333465248416353,0.8935838987465732,0.39800290763378143
R1_dog,severity,0.7482758620689656,0.7404761904761905,0.8952380952380952,0.34403394162654877
R1_mlp,state,0.8313761932922192,0.8328427825483861,0.8786253159997061,0.4035678058862686
R1_mlp,severity,0.8310344827586207,0.8071428571428572,0.888095238095238,0.3462055027484894
R1_poly,state,0.8361493621694687,0.8360101590819063,0.8917965661139016,0.4060678780078888
R1_poly,severity,0.8310344827586207,0.8488095238095238,0.9071428571428571,0.2981927990913391
R2_dog,state,0.8494550984202078,0.8491041384303821,0.9043753596902777,0.3691861778497696
R2_dog,severity,0.9137931034482758,0.9119047619047619,0.9833333333333334,0.3774586021900177
R2_mlp,state,0.8502365464222353,0.8515037981289095,0.8995017124302493,0.3820626884698868
R2_mlp,severity,0.9482758620689655,0.9476190476190476,0.9666666666666667,0.34102410078048706
R2_poly,state,0.8484624482554701,0.8487437699765333,0.8970899071560113,0.3765549063682556
R2_poly,severity,0.9137931034482758,0.9130952380952381,0.9738095238095239,0.36591318249702454
linear,state,0.8246810847343077,0.8230160268543134,0.8816933507273093,0.4119082987308502
linear,severity,0.9137931034482758,0.9142857142857143,0.9714285714285714,0.41311466693878174
R2_order1,state,0.8494550984202078,0.8491041384303821,0.9044295605331325,0.36907485127449036
R2_order1,severity,0.9137931034482758,0.9119047619047619,0.9833333333333334,0.37791186571121216
R2_no_dog,state,0.8494550984202078,0.8491041384303821,0.9045106340039604,0.3690386712551117
R2_no_dog,severity,0.9137931034482758,0.9119047619047619,0.9833333333333334,0.3775324672460556
R2_order1_no_dog,state,0.8494550984202078,0.8491041384303821,0.9044246342904485,0.36910437047481537
R2_order1_no_dog,severity,0.9137931034482758,0.9119047619047619,0.9833333333333334,0.37769433856010437
