config,task,dataset,accuracy,balanced_accuracy,AUROC,BCE,n_samples,n_subjects,positive_fraction,majority_accuracy,best_step,total_steps,last_BCE,parameters,trainable_parameters
R0_dog,state,vrq,0.806390977443609,0.8046308876811594,0.8515625,0.46602174639701843,532,5,0.518796992481203,0.518796992481203,198,627,0.6324650049209595,170749,170749
R0_dog,state,city,0.8669426374926079,0.8699593450481523,0.9289498808735368,0.31466639041900635,1691,5,0.4222353636901242,0.5777646363098758,2220,4070,0.380347341299057,170749,170749
R0_dog,severity,vrq,1.0,1.0,1.0,0.007018860429525375,5,5,0.6,0.6,125,165,0.4868007302284241,170749,170749
R0_dog,severity,city,0.8275862068965517,0.8261904761904761,0.9523809523809524,0.3045497536659241,29,5,0.4827586206896552,0.5172413793103449,732,972,0.6870225071907043,170749,170749
R0_mlp,state,vrq,0.8007518796992481,0.7987715126811594,0.8434810914855072,0.4737236797809601,532,5,0.518796992481203,0.518796992481203,198,627,0.6438987851142883,170447,170447
R0_mlp,state,city,0.8562980484920165,0.8641406409032395,0.9203673280980764,0.33386337757110596,1691,5,0.4222353636901242,0.5777646363098758,282,2162,0.5002996325492859,170447,170447
R0_mlp,severity,vrq,1.0,1.0,1.0,0.0024234626907855272,5,5,0.6,0.6,164,204,0.14186573028564453,170447,170447
R0_mlp,severity,city,0.8620689655172413,0.861904761904762,0.9238095238095237,0.3591981828212738,29,5,0.4827586206896552,0.5172413793103449,282,522,0.40907999873161316,170447,170447
R0_poly,state,vrq,0.8026315789473685,0.8014322916666667,0.8441321331521738,0.477412611246109,532,5,0.518796992481203,0.518796992481203,121,546,0.622181236743927,169691,169691
R0_poly,state,city,0.8657599053814311,0.8710094068333577,0.9287405852822195,0.32081252336502075,1691,5,0.4222353636901242,0.5777646363098758,2585,4440,0.36074355244636536,169691,169691
R0_poly,severity,vrq,1.0,1.0,1.0,0.030419539660215378,5,5,0.6,0.6,113,153,0.9449450373649597,169691,169691
R0_poly,severity,city,0.8620689655172413,0.861904761904762,0.9428571428571428,0.31583335995674133,29,5,0.4827586206896552,0.5172413793103449,858,1098,0.3604530990123749,169691,169691
R1_dog,state,vrq,0.8157894736842105,0.8139719202898551,0.8704144021739131,0.4495113492012024,532,5,0.518796992481203,0.518796992481203,176,605,0.7494038343429565,170749,170749
R1_dog,state,city,0.8492016558249557,0.8527211293934155,0.9167533953192333,0.3464944660663605,1691,5,0.4222353636901242,0.5777646363098758,555,2405,0.40964967012405396,170749,170749
R1_dog,severity,vrq,0.6,0.5833333333333333,0.8333333333333333,0.42008838057518005,5,5,0.6,0.6,88,128,0.5981944799423218,170749,170749
R1_dog,severity,city,0.896551724137931,0.8976190476190476,0.9571428571428572,0.2679795026779175,29,5,0.4827586206896552,0.5172413793103449,330,570,0.500069797039032,170749,170749
R1_mlp,state,vrq,0.7969924812030075,0.7942991394927537,0.833290874094203,0.48636895418167114,532,5,0.518796992481203,0.518796992481203,84,504,1.0701242685317993,170447,170447
R1_mlp,state,city,0.8657599053814311,0.8713864256040185,0.9239597579052091,0.3207666575908661,1691,5,0.4222353636901242,0.5777646363098758,185,2035,0.9992741346359253,170447,170447
R1_mlp,severity,vrq,0.8,0.75,0.8333333333333333,0.3783470392227173,5,5,0.6,0.6,83,123,0.4526827335357666,170447,170447
R1_mlp,severity,city,0.8620689655172413,0.8642857142857143,0.9428571428571428,0.3140639662742615,29,5,0.4827586206896552,0.5172413793103449,210,450,0.46282804012298584,170447,170447
R1_poly,state,vrq,0.8195488721804511,0.8177366394927537,0.8628000452898549,0.4761950671672821,532,5,0.518796992481203,0.518796992481203,440,869,0.7681611180305481,169691,169691
R1_poly,state,city,0.8527498521584861,0.854283678671059,0.9207930869379481,0.3359406888484955,1691,5,0.4222353636901242,0.5777646363098758,987,2867,0.4834211468696594,169691,169691
R1_poly,severity,vrq,0.8,0.8333333333333333,0.8333333333333333,0.38312578201293945,5,5,0.6,0.6,111,151,1.503039002418518,169691,169691
R1_poly,severity,city,0.8620689655172413,0.8642857142857143,0.980952380952381,0.21325981616973877,29,5,0.4827586206896552,0.5172413793103449,1434,1440,0.22118249535560608,169691,169691
R2_dog,state,vrq,0.8195488721804511,0.8184442934782609,0.8694378396739131,0.44526180624961853,532,5,0.518796992481203,0.518796992481203,121,546,0.6515240669250488,171069,171069
