contrast,task,dataset,accuracy,balanced_accuracy,AUROC,BCE
R1_dog - R0_dog,state,vrq,0.009398496240601517,0.009341032608695676,0.018851902173913082,-0.01651039719581604
R1_dog - R0_dog,state,city,-0.017740981667652256,-0.01723821565473682,-0.012196485554303527,0.031828075647354126
R1_dog - R0_dog,state,macro,-0.004171242713525425,-0.003948591523020517,0.0033277083098047777,0.007658839225769043
R1_dog - R0_dog,severity,vrq,-0.4,-0.41666666666666674,-0.16666666666666674,0.4130695201456547
R1_dog - R0_dog,severity,city,0.06896551724137934,0.07142857142857151,0.004761904761904745,-0.03657025098800659
R1_dog - R0_dog,severity,macro,-0.16551724137931023,-0.17261904761904756,-0.08095238095238111,0.18824963457882404
R2_dog - R1_dog,state,vrq,0.003759398496240629,0.004472373188405765,-0.0009765625,-0.004249542951583862
R2_dog - R1_dog,state,city,0.030159668835008868,0.02704285398908801,0.022559484387408957,-0.05338391661643982
R2_dog - R1_dog,state,macro,0.01695953366562475,0.015757613588746833,0.010791460943704534,-0.02881672978401184
R2_dog - R1_dog,severity,vrq,0.4,0.41666666666666674,0.16666666666666674,-0.027278751134872437
R2_dog - R1_dog,severity,city,-0.06896551724137934,-0.07380952380952388,0.009523809523809601,0.0941280722618103
R2_dog - R1_dog,severity,macro,0.16551724137931023,0.17142857142857137,0.08809523809523823,0.03342466056346893
R1_mlp - R0_mlp,state,vrq,-0.003759398496240629,-0.004472373188405765,-0.010190217391304213,0.01264527440071106
R1_mlp - R0_mlp,state,city,0.009461856889414588,0.007245784700778968,0.003592429807132702,-0.013096719980239868
R1_mlp - R0_mlp,state,macro,0.0028512291965869796,0.0013867057561866014,-0.003298893792085811,-0.0002257227897644043
R1_mlp - R0_mlp,severity,vrq,-0.19999999999999996,-0.25,-0.16666666666666674,0.37592357653193176
R1_mlp - R0_mlp,severity,city,0.0,0.0023809523809523725,0.01904761904761909,-0.04513421654701233
R1_mlp - R0_mlp,severity,macro,-0.09999999999999998,-0.12380952380952381,-0.07380952380952377,0.16539467999245971
R2_mlp - R1_mlp,state,vrq,0.018796992481203034,0.019814311594202882,0.030301743659420177,-0.02182561159133911
R2_mlp - R1_mlp,state,city,0.018923713778829065,0.01750771956684405,0.011451049201666397,-0.02118462324142456
R2_mlp - R1_mlp,state,macro,0.018860353130016105,0.018661015580523466,0.020876396430543287,-0.021505117416381836
R2_mlp - R1_mlp,severity,vrq,0.19999999999999996,0.25,0.16666666666666674,-0.060520946979522705
R2_mlp - R1_mlp,severity,city,0.034482758620689724,0.030952380952380842,-0.00952380952380949,0.050158143043518066
R2_mlp - R1_mlp,severity,macro,0.11724137931034484,0.14047619047619042,0.07857142857142863,-0.005181401968002319
R1_poly - R0_poly,state,vrq,0.016917293233082664,0.016304347826086918,0.018667912137681042,-0.0012175440788269043
R1_poly - R0_poly,state,city,-0.013010053222945017,-0.01672572816229867,-0.007947498344271331,0.015128165483474731
R1_poly - R0_poly,state,macro,0.0019536200050689345,-0.00021069016810593144,0.005360206896704911,0.006955310702323914
R1_poly - R0_poly,severity,vrq,-0.19999999999999996,-0.16666666666666674,-0.16666666666666674,0.3527062423527241
R1_poly - R0_poly,severity,city,0.0,0.0023809523809523725,0.03809523809523818,-0.10257354378700256
R1_poly - R0_poly,severity,macro,-0.09999999999999998,-0.08214285714285718,-0.06428571428571428,0.12506634928286076
R2_poly - R1_poly,state,vrq,-0.003759398496240629,-0.0024909420289855877,-0.008576766304347672,-0.013273686170578003
R2_poly - R1_poly,state,city,0.028385570668243654,0.027958163818239568,0.019163448388567317,-0.045752257108688354
R2_poly - R1_poly,state,macro,0.012313086086001457,0.01273361089462699,0.005293341042109767,-0.02951297163963318
R2_poly - R1_poly,severity,vrq,0.19999999999999996,0.16666666666666674,0.16666666666666674,-0.009384393692016602
R2_poly - R1_poly,severity,city,-0.03448275862068961,-0.03809523809523818,-0.033333333333333326,0.14482516050338745
R2_poly - R1_poly,severity,macro,0.08275862068965512,0.06428571428571428,0.06666666666666676,0.06772038340568542
R0_dog - R0_mlp,state,vrq,0.005639097744360888,0.005859375,0.008081408514492794,-0.00770193338394165
R0_dog - R0_mlp,state,city,0.010644589000591398,0.005818704144912812,0.008582552775460384,-0.01919698715209961
R0_dog - R0_mlp,state,macro,0.008141843372476254,0.00583903957245635,0.008331980644976533,-0.01344946026802063
R0_dog - R0_mlp,severity,vrq,0.0,0.0,0.0,0.004595397738739848
R0_dog - R0_mlp,severity,city,-0.03448275862068961,-0.03571428571428581,0.028571428571428692,-0.05464842915534973
R0_dog - R0_mlp,severity,macro,-0.017241379310344862,-0.017857142857142905,0.014285714285714457,-0.02502651570830494
R0_dog - R0_poly,state,vrq,0.003759398496240518,0.003198596014492683,0.007430366847826164,-0.011390864849090576
R0_dog - R0_poly,state,city,0.0011827321111768097,-0.0010500617852053917,0.00020929559131732667,-0.006146132946014404
R0_dog - R0_poly,state,macro,0.002471065303708775,0.0010742671146435345,0.0038198312195717454,-0.00876849889755249
R0_dog - R0_poly,severity,vrq,0.0,0.0,0.0,-0.023400679230690002
R0_dog - R0_poly,severity,city,-0.03448275862068961,-0.03571428571428581,0.009523809523809601,-0.01128360629081726
R0_dog - R0_poly,severity,macro,-0.017241379310344862,-0.017857142857142905,0.004761904761904856,-0.01734214276075363
R1_dog - R1_mlp,state,vrq,0.018796992481203034,0.01967278079710144,0.03712352807971009,-0.03685760498046875
R1_dog - R1_mlp,state,city,-0.016558249556475446,-0.018665296210602977,-0.007206362585975845,0.025727808475494385
R1_dog - R1_mlp,state,macro,0.0011193714623638495,0.0005037422932492319,0.014958582746867122,-0.005564898252487183
R1_dog - R1_mlp,severity,vrq,-0.20000000000000007,-0.16666666666666674,0.0,0.04174134135246277
R1_dog - R1_mlp,severity,city,0.034482758620689724,0.033333333333333326,0.014285714285714346,-0.046084463596343994
R1_dog - R1_mlp,severity,macro,-0.08275862068965512,-0.06666666666666665,0.0071428571428571175,-0.002171561121940613
R1_dog - R1_poly,state,vrq,-0.003759398496240629,-0.0037647192028985588,0.007614356884058204,-0.026683717966079712
R1_dog - R1_poly,state,city,-0.003548196333530429,-0.0015625492776435435,-0.004039691618714869,0.01055377721786499
R1_dog - R1_poly,state,macro,-0.0036537974148855845,-0.002663634240271051,0.0017873326326716121,-0.00806497037410736
R1_dog - R1_poly,severity,vrq,-0.20000000000000007,-0.25,0.0,0.0369625985622406
