config,dataset,accuracy,balanced_accuracy,subject_macro_balanced_accuracy,AUROC,BCE,n_samples,n_subjects,positive_fraction,best_step,parameters
base,vrq,0.8,0.8333333333333333,0.8,1.0,0.3737298548221588,5,5,0.6,58,35291
base,city,0.8620689655172413,0.8595238095238096,0.675,0.9190476190476191,0.3402574062347412,29,5,0.4827586206896552,180,35291
mlp,vrq,0.8,0.8333333333333333,0.8,1.0,0.3312249183654785,5,5,0.6,38,138591
mlp,city,0.9310344827586207,0.930952380952381,0.875,0.9238095238095239,0.32832708954811096,29,5,0.4827586206896552,156,138591
poly,vrq,0.8,0.8333333333333333,0.8,1.0,0.35963359475135803,5,5,0.6,44,104311
poly,city,0.896551724137931,0.8928571428571428,0.7,0.9190476190476191,0.3453056216239929,29,5,0.4827586206896552,156,104311
fractional,vrq,0.8,0.8333333333333333,0.8,1.0,0.360008180141449,5,5,0.6,44,104853
fractional,city,0.896551724137931,0.8928571428571428,0.7,0.9190476190476191,0.34598055481910706,29,5,0.4827586206896552,156,104853
dog,vrq,0.8,0.8333333333333333,0.8,1.0,0.3577949106693268,5,5,0.6,43,138514
dog,city,0.8620689655172413,0.8595238095238096,0.675,0.9190476190476191,0.33757197856903076,29,5,0.4827586206896552,174,138514
